,color_name,red,green,blue
41,deepskyblue,0.0,0.7490196078431373,1.0
42,dimgray,0.4117647058823529,0.4117647058823529,0.4117647058823529
43,dimgrey,0.4117647058823529,0.4117647058823529,0.4117647058823529
44,dodgerblue,0.11764705882352941,0.5647058823529412,1.0
45,firebrick,0.6980392156862745,0.13333333333333333,0.13333333333333333
46,floralwhite,1.0,0.9803921568627451,0.9411764705882353
47,forestgreen,0.13333333333333333,0.5450980392156862,0.13333333333333333
48,fuchsia,1.0,0.0,1.0
49,gainsboro,0.8627450980392157,0.8627450980392157,0.8627450980392157
50,ghostwhite,0.9725490196078431,0.9725490196078431,1.0
51,gold,1.0,0.8431372549019608,0.0
52,goldenrod,0.8549019607843137,0.6470588235294118,0.12549019607843137
53,gray,0.5019607843137255,0.5019607843137255,0.5019607843137255
54,green,0.0,0.5019607843137255,0.0
55,greenyellow,0.6784313725490196,1.0,0.1843137254901961
56,grey,0.5019607843137255,0.5019607843137255,0.5019607843137255
57,honeydew,0.9411764705882353,1.0,0.9411764705882353
58,hotpink,1.0,0.4117647058823529,0.7058823529411765
59,indianred,0.803921568627451,0.3607843137254902,0.3607843137254902
60,indigo,0.29411764705882354,0.0,0.5098039215686274
61,ivory,1.0,1.0,0.9411764705882353
62,khaki,0.9411764705882353,0.9019607843137255,0.5490196078431373
63,lavender,0.9019607843137255,0.9019607843137255,0.9803921568627451
64,lavenderblush,1.0,0.9411764705882353,0.9607843137254902
65,lawngreen,0.48627450980392156,0.9882352941176471,0.0
66,lemonchiffon,1.0,0.9803921568627451,0.803921568627451
67,lightblue,0.6784313725490196,0.8470588235294118,0.9019607843137255
68,lightcoral,0.9411764705882353,0.5019607843137255,0.5019607843137255
69,lightcyan,0.8784313725490196,1.0,1.0
70,lightgoldenrodyellow,0.9803921568627451,0.9803921568627451,0.8235294117647058
71,lightgray,0.8274509803921568,0.8274509803921568,0.8274509803921568
72,lightgreen,0.5647058823529412,0.9333333333333333,0.5647058823529412
73,lightgrey,0.8274509803921568,0.8274509803921568,0.8274509803921568
74,lightpink,1.0,0.7137254901960784,0.7568627450980392
75,lightsalmon,1.0,0.6274509803921569,0.47843137254901963
76,lightseagreen,0.12549019607843137,0.6980392156862745,0.6666666666666666
77,lightskyblue,0.5294117647058824,0.807843137254902,0.9803921568627451
78,lightslategray,0.4666666666666667,0.5333333333333333,0.6
79,lightslategrey,0.4666666666666667,0.5333333333333333,0.6
80,lightsteelblue,0.6901960784313725,0.7686274509803922,0.8705882352941177
81,lightyellow,1.0,1.0,0.8784313725490196
82,lime,0.0,1.0,0.0
83,limegreen,0.19607843137254902,0.803921568627451,0.19607843137254902
84,linen,0.9803921568627451,0.9411764705882353,0.9019607843137255
85,magenta,1.0,0.0,1.0
86,maroon,0.5019607843137255,0.0,0.0
87,mediumaquamarine,0.4,0.803921568627451,0.6666666666666666
88,mediumblue,0.0,0.0,0.803921568627451
89,mediumorchid,0.7294117647058823,0.3333333333333333,0.8274509803921568
90,mediumpurple,0.5764705882352941,0.4392156862745098,0.8588235294117647
91,mediumseagreen,0.23529411764705882,0.7019607843137254,0.44313725490196076
92,mediumslateblue,0.4823529411764706,0.40784313725490196,0.9333333333333333
93,mediumspringgreen,0.0,0.9803921568627451,0.6039215686274509
94,mediumturquoise,0.2823529411764706,0.8196078431372549,0.8
95,mediumvioletred,0.7803921568627451,0.08235294117647059,0.5215686274509804
96,midnightblue,0.09803921568627451,0.09803921568627451,0.4392156862745098
97,mintcream,0.9607843137254902,1.0,0.9803921568627451
98,mistyrose,1.0,0.8941176470588236,0.8823529411764706
99,moccasin,1.0,0.8941176470588236,0.7098039215686275
100,navajowhite,1.0,0.8705882352941177,0.6784313725490196
101,navy,0.0,0.0,0.5019607843137255
102,oldlace,0.9921568627450981,0.9607843137254902,0.9019607843137255
103,olive,0.5019607843137255,0.5019607843137255,0.0
104,olivedrab,0.4196078431372549,0.5568627450980392,0.13725490196078433
105,orange,1.0,0.6470588235294118,0.0
106,orangered,1.0,0.27058823529411763,0.0
107,orchid,0.8549019607843137,0.4392156862745098,0.8392156862745098
108,palegoldenrod,0.9333333333333333,0.9098039215686274,0.6666666666666666
109,palegreen,0.596078431372549,0.984313725490196,0.596078431372549
110,paleturquoise,0.6862745098039216,0.9333333333333333,0.9333333333333333
111,palevioletred,0.8588235294117647,0.4392156862745098,0.5764705882352941
112,papayawhip,1.0,0.9372549019607843,0.8352941176470589
113,peachpuff,1.0,0.8549019607843137,0.7254901960784313
114,peru,0.803921568627451,0.5215686274509804,0.24705882352941178
115,pink,1.0,0.7529411764705882,0.796078431372549
116,plum,0.8666666666666667,0.6274509803921569,0.8666666666666667
117,powderblue,0.6901960784313725,0.8784313725490196,0.9019607843137255
118,purple,0.5019607843137255,0.0,0.5019607843137255
119,rebeccapurple,0.4,0.2,0.6
120,red,1.0,0.0,0.0
121,rosybrown,0.7372549019607844,0.5607843137254902,0.5607843137254902
122,royalblue,0.2549019607843137,0.4117647058823529,0.8823529411764706
123,saddlebrown,0.5450980392156862,0.27058823529411763,0.07450980392156863
124,salmon,0.9803921568627451,0.5019607843137255,0.4470588235294118
125,sandybrown,0.9568627450980393,0.6431372549019608,0.3764705882352941
126,seagreen,0.1803921568627451,0.5450980392156862,0.3411764705882353
127,seashell,1.0,0.9607843137254902,0.9333333333333333
128,sienna,0.6274509803921569,0.3215686274509804,0.17647058823529413
129,silver,0.7529411764705882,0.7529411764705882,0.7529411764705882
130,skyblue,0.5294117647058824,0.807843137254902,0.9215686274509803
131,slateblue,0.41568627450980394,0.35294117647058826,0.803921568627451
132,slategray,0.4392156862745098,0.5019607843137255,0.5647058823529412
133,slategrey,0.4392156862745098,0.5019607843137255,0.5647058823529412
134,snow,1.0,0.9803921568627451,0.9803921568627451
135,springgreen,0.0,1.0,0.4980392156862745
136,steelblue,0.27450980392156865,0.5098039215686274,0.7058823529411765
137,tan,0.8235294117647058,0.7058823529411765,0.5490196078431373
138,teal,0.0,0.5019607843137255,0.5019607843137255
139,thistle,0.8470588235294118,0.7490196078431373,0.8470588235294118
140,tomato,1.0,0.38823529411764707,0.2784313725490196
141,turquoise,0.25098039215686274,0.8784313725490196,0.8156862745098039
142,violet,0.9333333333333333,0.5098039215686274,0.9333333333333333
143,wheat,0.9607843137254902,0.8705882352941177,0.7019607843137254
144,white,1.0,1.0,1.0
145,whitesmoke,0.9607843137254902,0.9607843137254902,0.9607843137254902
146,yellow,1.0,1.0,0.0
147,yellowgreen,0.6039215686274509,0.803921568627451,0.19607843137254902
